SaleID,OrderID,ProductID,CustomerID,Quantity,UnitPrice,TotalAmount,SaleDate,TotalSales
1,1001,6,80,2.0,10114.0,20228.0,2026-01-05,20228.0
2,1002,64,66,1.0,39890.0,39890.0,2026-07-17,39890.0
3,1003,4,59,1.0,12604.0,12604.0,2026-08-18,12604.0
4,1004,53,53,2.0,68237.0,136474.0,2026-07-05,136474.0
5,1005,43,51,2.0,8295.0,16590.0,2026-03-07,16590.0
6,1006,20,99,3.0,48500.0,97000.0,2026-04-16,145500.0
7,1007,4,96,1.0,12604.0,12604.0,2026-06-24,12604.0
8,1008,41,54,4.0,68474.0,273896.0,2026-02-07,273896.0
9,1009,3,37,3.0,52507.0,237741.0,2026-01-23,157521.0
10,1010,53,100,5.0,68237.0,341185.0,2026-05-12,341185.0
11,1011,72,21,5.0,18412.0,92060.0,2026-03-03,92060.0
12,1012,21,18,3.0,51546.0,154638.0,2026-08-15,154638.0
13,1013,99,53,1.0,52507.0,52507.0,2026-03-22,52507.0
14,1014,97,15,3.0,48469.0,145407.0,2026-04-21,145407.0
15,1015,69,34,3.0,73068.0,219204.0,2026-07-17,219204.0
16,1016,60,84,5.0,39915.0,199575.0,2026-07-28,199575.0
17,1017,27,4,5.0,19563.0,97815.0,2026-03-11,97815.0
18,1018,20,62,1.0,48500.0,48500.0,2026-03-23,48500.0
19,1019,6,51,5.0,10114.0,50570.0,2026-03-03,50570.0
20,1020,63,87,5.0,8578.0,42890.0,2026-01-04,42890.0
21,1021,37,100,1.0,55197.0,55197.0,2026-07-21,55197.0
22,1022,56,43,5.0,56973.0,284865.0,2026-06-09,284865.0
23,1023,91,64,4.0,15905.0,63620.0,2026-08-24,63620.0
24,1024,87,74,1.0,70350.0,70350.0,2026-07-17,70350.0
25,1025,21,100,1.0,51546.0,51546.0,2026-01-27,51546.0
26,1026,80,85,4.0,15170.0,60680.0,2026-08-18,60680.0
27,1027,84,8,4.0,44422.0,177688.0,2026-05-26,177688.0
28,1028,31,66,3.0,3563.0,10689.0,2026-06-13,10689.0
29,1029,49,85,5.0,60180.0,300900.0,2026-07-08,300900.0
30,1030,97,47,5.0,48469.0,242345.0,2026-05-24,242345.0
31,1031,44,14,2.0,75321.0,150642.0,2026-05-21,150642.0
32,1032,45,48,1.0,59440.0,59440.0,2026-08-19,59440.0
33,1033,100,28,5.0,7835.0,39175.0,2026-03-21,39175.0
34,1034,72,91,2.0,18412.0,36824.0,2026-06-20,36824.0
35,1035,47,67,2.0,13389.0,26778.0,2026-03-07,26778.0
36,1036,61,100,4.0,5215.0,20860.0,2026-02-26,20860.0
37,1037,30,60,4.0,57647.0,230588.0,2026-05-28,230588.0
38,1038,13,71,5.0,27523.0,137615.0,2026-06-16,137615.0
39,1039,45,23,2.0,59440.0,118880.0,2026-05-10,118880.0
40,1040,67,94,4.0,64647.0,258588.0,2026-01-17,258588.0
41,1041,70,89,3.0,33758.0,101274.0,2026-06-02,101274.0
42,1042,45,52,3.0,59440.0,178320.0,2026-05-24,178320.0
43,1043,47,91,4.0,13389.0,53556.0,2026-08-18,53556.0
44,1044,31,10,4.0,3563.0,14252.0,2026-02-25,14252.0
45,1045,67,34,2.0,64647.0,129294.0,2026-02-18,129294.0
46,1046,74,92,5.0,75287.0,376435.0,2026-05-06,376435.0
47,1047,75,45,2.0,7351.0,14702.0,2026-03-23,14702.0
48,1048,75,19,4.0,7351.0,29404.0,2026-05-03,29404.0
49,1049,87,90,5.0,70350.0,351750.0,2026-03-18,351750.0
50,1050,33,20,4.0,79758.0,319032.0,2026-07-26,319032.0
51,1051,10,11,3.0,60899.0,182697.0,2026-02-17,182697.0
52,1052,21,72,3.0,51546.0,154638.0,2026-07-11,154638.0
53,1053,84,7,5.0,44422.0,222110.0,2026-07-08,222110.0
54,1054,53,87,1.0,68237.0,68237.0,2026-02-07,68237.0
55,1055,95,51,3.0,73675.0,221025.0,2026-03-19,221025.0
56,1056,16,52,4.0,58614.0,234456.0,2026-07-15,234456.0
57,1057,87,20,4.0,70350.0,281400.0,2026-02-13,281400.0
58,1058,59,16,4.0,53057.0,212228.0,2026-08-05,212228.0
59,1059,73,59,4.0,3100.0,12400.0,2026-07-22,12400.0
60,1060,86,52,2.0,44170.0,88340.0,2026-01-04,88340.0
61,1061,12,20,4.0,48897.0,195588.0,2026-07-04,195588.0
62,1062,45,66,1.0,59440.0,59440.0,2026-08-10,59440.0
63,1063,14,83,2.0,37879.0,75758.0,2026-07-18,75758.0
64,1064,34,99,3.0,58081.0,174243.0,2026-07-12,174243.0
65,1065,99,19,5.0,52507.0,262535.0,2026-03-03,262535.0
66,1066,59,41,4.0,53057.0,212228.0,2026-07-26,212228.0
67,1067,17,25,1.0,41604.0,41604.0,2026-03-04,41604.0
68,1068,11,50,1.0,61373.0,61373.0,2026-07-14,61373.0
69,1069,3,43,4.0,79247.0,316988.0,2026-01-16,316988.0
70,1070,38,4,2.0,74101.0,148202.0,2026-06-15,148202.0
71,1071,94,97,5.0,58434.0,292170.0,2026-01-22,292170.0
72,1072,41,14,4.0,68474.0,273896.0,2026-07-22,273896.0
73,1073,13,32,4.0,27523.0,110092.0,2026-02-19,110092.0
74,1074,74,91,1.0,75287.0,75287.0,2026-06-11,75287.0
75,1075,22,77,2.0,24924.0,49848.0,2026-04-16,49848.0
76,1076,23,6,4.0,69207.0,276828.0,2026-04-26,276828.0
77,1077,41,62,3.0,68474.0,205422.0,2026-03-24,205422.0
78,1078,64,47,2.0,39890.0,79780.0,2026-06-12,79780.0
79,1079,35,45,1.0,67459.0,67459.0,2026-04-11,67459.0
80,1080,31,29,4.0,3563.0,14252.0,2026-03-26,14252.0
81,1081,81,75,2.0,78206.0,156412.0,2026-06-27,156412.0
82,1082,41,24,4.0,68474.0,273896.0,2026-02-06,273896.0
83,1083,90,5,1.0,72707.0,72707.0,2026-01-13,72707.0
84,1084,56,26,1.0,56973.0,56973.0,2026-06-28,56973.0
85,1085,26,12,2.0,42938.0,85876.0,2026-06-15,85876.0
86,1086,46,55,5.0,66191.0,330955.0,2026-05-12,330955.0
87,1087,16,72,1.0,58614.0,58614.0,2026-01-09,58614.0
88,1088,84,32,4.0,44422.0,177688.0,2026-04-10,177688.0
89,1089,67,6,3.0,64647.0,193941.0,2026-04-26,193941.0
90,1090,26,56,3.0,42938.0,128814.0,2026-08-27,128814.0
91,1091,5,66,3.0,57920.0,173760.0,2026-07-01,173760.0
92,1092,15,36,1.0,8084.0,8084.0,2026-06-19,8084.0
93,1093,99,14,4.0,52507.0,210028.0,2026-04-16,210028.0
94,1094,20,18,5.0,48500.0,242500.0,2026-07-12,242500.0
95,1095,4,37,3.0,12604.0,37812.0,2026-03-16,37812.0
96,1096,64,15,2.0,39890.0,79780.0,2026-03-15,79780.0
97,1097,56,88,4.0,56973.0,227892.0,2026-05-08,227892.0
98,1098,37,71,4.0,55197.0,220788.0,2026-07-22,220788.0
99,1099,38,99,4.0,74101.0,296404.0,2026-03-28,296404.0
100,1100,92,74,5.0,7877.0,39385.0,2026-02-11,39385.0
